Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
701;24922;1.622;1629.65379583836
702;24923;1.6298;1631.27579581738
703;24924;1.9349;1632.90559577942
704;24925;1.9065;1634.84049582481
705;24926;13.3586;1636.74699580669
706;24927;2.2353;1650.10559546947
707;24928;1.9186;1652.34089553356
708;24929;2.0647;1654.25949549675
709;24930;2.3364;1656.32419538498
710;24931;1.9627;1658.66059541702
711;24932;1.914;1660.62329542637
712;24933;1.708;1662.5372954607
713;24934;1.7412;1664.24529540539
714;24935;1.8852;1665.98649537563
715;24936;2.237;1667.87169539928
716;24937;2.001;1670.10869538784
717;24938;1.7874;1672.10969531536
718;24939;1.8995;1673.89709532261
719;24940;2.4012;1675.79659533501
720;24941;1.7399;1678.19779539108
721;24942;1.6852;1679.93769538403
722;24943;1.8945;1681.62289535999
723;24944;2.0968;1683.51739537716
724;24945;2.1469;1685.61419546604
725;24946;1.7969;1687.76109540462
726;24947;1.9834;1689.55799543858
727;24948;2.2805;1691.5413954258
728;24949;1.9462;1693.82189536095
729;24950;2.1632;1695.76809537411
730;24951;1.6791;1697.93129527569
731;24952;3.1492;1699.61039531231
732;24953;1.9358;1702.75959527493
733;24954;1.7723;1704.69539523125
734;24955;1.9484;1706.46769523621
735;24956;1.9471;1708.41609525681
736;24957;2.3054;1710.3631953001
737;24958;1.7964;1712.66859519482
738;24959;1.7272;1714.4649951458
739;24960;2.6872;1716.19219517708
740;24961;1.9591;1718.87939524651
741;24962;1.9851;1720.83849525452
742;24963;1.8065;1722.82359528542
743;24964;2.1525;1724.63009524345
744;24965;2.0432;1726.78259515762
745;24966;1.792;1728.82579517365
746;24967;1.7732;1730.61779510975
747;24968;2.0944;1732.39099514484
748;24969;1.8935;1734.48539507389
749;24970;2.2746;1736.37889504433
750;24971;1.7187;1738.65349507332
751;24972;1.8772;1740.37219512463
752;24973;1.9194;1742.24939513206
753;24974;1.7726;1744.1687951088
754;24975;1.8927;1745.94139516354
755;24976;1.956;1747.83409512043
756;24977;2.0242;1749.79009509087
757;24978;2.2406;1751.81429505348
758;24979;1.7637;1754.05489516258
759;24980;2.1273;1755.81859517097
760;24981;1.8324;1757.94589519501
761;24982;1.8377;1759.77829515934
762;24983;1.8248;1761.61599516869
763;24984;1.7901;1763.44079518318
764;24985;1.8379;1765.23089516163
765;24986;1.9453;1767.06879520416
766;24987;1.7915;1769.01409518719
767;24988;1.7116;1770.80559515953
768;24989;1.6997;1772.51719510555
769;24990;1.9382;1774.21689510345
770;24991;2.672;1776.1550951004
771;24992;1.8985;1778.82709503174
772;24993;1.7984;1780.72559499741
773;24994;1.9862;1782.52399504185
774;24995;2.0611;1784.51019501686
775;24996;1.9424;1786.57129502296
